name,受理申请项数,受理申请金额,批准资助项数,批准资助金额
数理科学部,311,105829.95,80,24000
数学,45,13061.05,17,4250
力学,87,30183.09,19,5950
天文学,36,12456.4,10,3140
物理学I,70,24349.61,18,5640
物理学II,73,25779.8,16,5020
化学科学部,277,89312.5,62,19500
化学综合处,15,4910.3,6,1885
合成化学,28,9290.67,9,2835
催化与表界面化学,18,5834.47,5,1575
化学理论与机制,27,8496.5,8,2520
化学测量学,28,8976.97,6,1890
材料化学与能源化学,29,9519.41,6,1865
环境化学,35,11293.41,5,1575
化学生物学,39,12339.48,6,1890
化学工程与工业化学,58,18651.29,11,3465
生命科学部,621,196508.11,113,32300
微生物学、植物学,76,23913.78,11,3187
生态学、林学,32,10115.64,8,2279
生物物理、生化与生物分子学、生物力学与组织工程、免疫学,99,32093.04,17,4893
神经、认识与心理学、生理学与整合生物学,85,27053.02,14,4011
遗传学与生物信息学、细胞生物学、发育生物学与生殖生物学,105,33272.52,21,5960
食品科学、农学基础与作物学,74,22968.68,10,2807
植物保护学、园艺学与植物营养学,47,15047.16,12,3453
动物学、畜牧学与草地科学、兽医学、水产学,103,32044.27,20,5710
地球科学部,509,171456.05,92,27780
综合与战略规划处,145,48419.24,21,6341
地理学,94,31314.53,18,5435
地质学,35,12046.74,7,2115
地球化学,47,16133.14,9,2717
地球物理学和空间物理学,16,5340.72,4,1208
大气科学学科,26,8671.92,6,1808
海洋科学,56,19196.66,12,3624
环境地球科学和土壤学,90,30333.1,15,4532
工程与材料科学部,476,147873.21,102,30600
金属材料学科,43,13769.04,12,3600
无机非金属材料学科,49,15071.48,11,3300
有机高分子材料学科,45,14327.53,11,3300
冶金与矿业学科,49,15197.35,10,3000
机械工程学科,79,23928.26,13,3900
工程热物理与能源利用学科,44,13741.02,10,3000
电气科学与工程学科,70,21708.68,11,3300
建筑环境与结构工程学科,50,15863.68,13,3900
水利科学与海洋工程学科,47,14266.17,11,3300
信息科学部,347,107877.36,98,28000
电子学与信息系统,73,23098.56,22,6270
计算机科学学科,69,20950.66,20,5700
自动化学科,127,38541.81,32,9120
半导体科学、光学和光电子学,78,25286.33,24,6910
管理科学部,138,35498.11,34,7992
管理科学与工程,24,6266.01,8,1880.48
工商管理,53,13528.36,15,3525.86
经济科学,24,6089.07,5,1175.3
宏观管理与政策,37,9614.67,6,1410.36
医学科学部,685,211813.51,120,35270
医学科学一处,75,23234.06,15,4412
医学科学二处,66,21024.93,16,4697
医学科学三处,49,15255.13,9,2651
医学科学四处,56,17225.62,11,3233
医学科学五处,71,21899.45,11,3236
医学科学六处,105,32439.5,17,4992
医学科学七处,97,29892.84,15,4409
医学科学八处,22,6868.89,6,1762
医学科学九处,68,20872.24,8,2351
医学科学十处,76,23100.85,12,3527
